Budget_ID,State,Country
B000512,Michigan,USA
B000513,Michigan,USA
B000514,Illinois,USA
B000515,Michigan,USA
B000516,Ohio,USA
B000517,Washington,USA
B000518,Illinois,USA
B000519,New York,USA
B000520,Massachusetts,USA
B000521,California,USA
B000522,Florida,USA
B000523,Arizona,USA
B000524,Ohio,USA
B000525,Georgia,USA
B000526,Georgia,USA
B000527,Tennessee,USA
B000528,Texas,USA
B000529,New Jersey,USA
B000530,Massachusetts,USA
B000531,Illinois,USA
B000532,Texas,USA
B000533,Arizona,USA
B000534,Arizona,USA
B000535,Massachusetts,USA
B000536,Michigan,USA
B000537,Massachusetts,USA
B000538,Arizona,USA
B000539,Massachusetts,USA
B000540,Illinois,USA
B000541,Arizona,USA
B000542,North Carolina,USA
B000543,Georgia,USA
B000544,North Carolina,USA
B000545,Illinois,USA
B000546,Georgia,USA
B000547,Arizona,USA
B000548,Arizona,USA
B000549,New York,USA
B000550,Michigan,USA
B000551,Virginia,USA
B000552,Massachusetts,USA
B000553,New Jersey,USA
B000554,Washington,USA
B000555,Michigan,USA
B000556,Florida,USA
B000557,Ohio,USA
B000558,New York,USA
B000559,Texas,USA
B000560,Illinois,USA
B000561,Virginia,USA
B000562,Virginia,USA
B000563,Washington,USA
B000564,New York,USA
B000565,Texas,USA
B000566,Ohio,USA
B000567,Illinois,USA
B000568,California,USA
B000569,Tennessee,USA
B000570,Arizona,USA
B000571,Ohio,USA
B000572,Washington,USA
B000573,Tennessee,USA
B000574,New York,USA
B000575,Washington,USA
B000576,Texas,USA
B000577,Ohio,USA
B000578,Texas,USA
B000579,Illinois,USA
B000580,Michigan,USA
B000581,California,USA
B000582,New York,USA
B000583,Arizona,USA
B000584,Michigan,USA
B000585,Texas,USA
B000586,Arizona,USA
B000587,New York,USA
B000588,Virginia,USA
B000589,Ohio,USA
B000590,Georgia,USA
B000591,New Jersey,USA
B000592,New Jersey,USA
B000593,Arizona,USA
B000594,Virginia,USA
B000595,New York,USA
B000596,Washington,USA
B000597,Massachusetts,USA
B000598,Texas,USA
B000599,Washington,USA
B000600,Washington,USA
B000601,Texas,USA
B000602,New York,USA
B000603,North Carolina,USA
B000604,Michigan,USA
B000605,North Carolina,USA
B000606,Ohio,USA
B000607,Georgia,USA
B000608,Florida,USA
B000609,California,USA
B000610,Illinois,USA
B000611,Massachusetts,USA
B000612,Massachusetts,USA
B000613,Michigan,USA
B000614,Ohio,USA
B000615,Washington,USA
B000616,Tennessee,USA
B000617,Ohio,USA
B000618,Tennessee,USA
B000619,Massachusetts,USA
B000620,Tennessee,USA
B000621,New York,USA
B000622,Arizona,USA
B000623,Florida,USA
B000624,New Jersey,USA
B000625,New Jersey,USA
B000626,Georgia,USA
B000627,Ohio,USA
B000628,New York,USA
B000629,California,USA
B000630,North Carolina,USA
B000631,Georgia,USA
B000632,Florida,USA
B000633,Virginia,USA
B000634,Texas,USA
B000635,Illinois,USA
B000636,New York,USA
B000637,California,USA
B000638,New Jersey,USA
B000639,Illinois,USA
B000640,Virginia,USA
B000641,Texas,USA
B000642,Virginia,USA
B000643,New Jersey,USA
B000644,Texas,USA
B000645,Arizona,USA
B000646,Illinois,USA
B000647,California,USA
B000648,New York,USA
B000649,Florida,USA
B000650,Massachusetts,USA
B000651,Georgia,USA
B000652,Virginia,USA
B000653,Texas,USA
B000654,Illinois,USA
B000655,Texas,USA
B000656,Tennessee,USA
B000657,Georgia,USA
B000658,Texas,USA
B000659,California,USA
B000660,Florida,USA
B000661,Washington,USA
B000662,Virginia,USA
B000663,California,USA
B000664,Texas,USA
B000665,Florida,USA
B000666,North Carolina,USA
B000667,Texas,USA
B000668,California,USA
B000669,Illinois,USA
B000670,Massachusetts,USA
B000671,New Jersey,USA
B000672,Arizona,USA
B000673,Ohio,USA
B000674,Washington,USA
B000675,Tennessee,USA
B000676,Texas,USA
B000677,North Carolina,USA
B000678,Washington,USA
B000679,Arizona,USA
B000680,Texas,USA
B000681,New Jersey,USA
B000682,North Carolina,USA
B000683,Michigan,USA
B000684,New Jersey,USA
B000685,New York,USA
B000686,North Carolina,USA
B000687,Tennessee,USA
B000688,Texas,USA
B000689,Arizona,USA
B000690,Washington,USA
B000691,Texas,USA
B000692,Michigan,USA
B000693,California,USA
B000694,California,USA
B000695,Washington,USA
B000696,Florida,USA
B000697,Texas,USA
B000698,Georgia,USA
B000699,Ohio,USA
B000700,California,USA
B000701,Michigan,USA
B000702,Michigan,USA
B000703,Texas,USA
B000704,Illinois,USA
B000705,California,USA
B000706,California,USA
B000707,Michigan,USA
B000708,North Carolina,USA
B000709,Texas,USA
B000710,Virginia,USA
B000711,Massachusetts,USA
B000712,Washington,USA
B000713,Texas,USA
B000714,Tennessee,USA
B000715,California,USA
B000716,New Jersey,USA
B000717,Arizona,USA
B000718,Massachusetts,USA
B000719,Georgia,USA
B000720,Tennessee,USA
B000721,Massachusetts,USA
B000722,Michigan,USA
B000723,Tennessee,USA
B000724,Massachusetts,USA
B000725,North Carolina,USA
B000726,Florida,USA
B000727,Virginia,USA
B000728,North Carolina,USA
B000729,New Jersey,USA
B000730,Florida,USA
B000731,New York,USA
B000732,Arizona,USA
B000733,Massachusetts,USA
B000734,Texas,USA
B000735,Massachusetts,USA
B000736,Illinois,USA
B000737,Florida,USA
B000738,Michigan,USA
B000739,Massachusetts,USA
B000740,North Carolina,USA
B000741,North Carolina,USA
B000742,Illinois,USA
B000743,North Carolina,USA
B000744,Michigan,USA
B000745,New Jersey,USA
B000746,Michigan,USA
B000747,Massachusetts,USA
B000748,Tennessee,USA
B000749,Florida,USA
B000750,Georgia,USA
B000751,New Jersey,USA
B000752,New Jersey,USA
B000753,California,USA
B000754,Virginia,USA
B000755,North Carolina,USA
B000756,New Jersey,USA
B000757,Michigan,USA
B000758,Texas,USA
B000759,Massachusetts,USA
B000760,New York,USA
B000761,Texas,USA
B000762,Virginia,USA
B000763,Georgia,USA
B000764,Arizona,USA
B000765,New York,USA
B000766,Tennessee,USA
B000767,Texas,USA
B000768,Texas,USA
B000769,New Jersey,USA
B000770,Michigan,USA
B000771,Illinois,USA
B000772,Massachusetts,USA
B000773,Texas,USA
B000774,Virginia,USA
B000775,North Carolina,USA
B000776,Texas,USA
B000777,Illinois,USA
B000778,North Carolina,USA
B000779,California,USA
B000780,Virginia,USA
B000781,Arizona,USA
B000782,California,USA
B000783,Massachusetts,USA
B000784,Florida,USA
B000785,Michigan,USA
B000786,Illinois,USA
B000787,Georgia,USA
B000788,North Carolina,USA
B000789,Georgia,USA
B000790,Ohio,USA
B000791,Texas,USA
B000792,North Carolina,USA
B000793,Virginia,USA
B000794,Florida,USA
B000795,New York,USA
B000796,Arizona,USA
B000797,Ohio,USA
B000798,Arizona,USA
B000799,Michigan,USA
B000800,Georgia,USA
B000801,North Carolina,USA
B000802,Texas,USA
B000803,Florida,USA
B000804,Georgia,USA
B000805,North Carolina,USA
B000806,Illinois,USA
B000807,Arizona,USA
B000808,North Carolina,USA
B000809,Ohio,USA
B000810,Texas,USA
B000811,Texas,USA
B000812,Tennessee,USA
B000813,New Jersey,USA
B000814,Ohio,USA
B000815,New Jersey,USA
B000816,Georgia,USA
B000817,Ohio,USA
B000818,Georgia,USA
B000819,Michigan,USA
B000820,Florida,USA
B000821,Georgia,USA
B000822,California,USA
B000823,New York,USA
B000824,Washington,USA
B000825,California,USA
B000826,Tennessee,USA
B000827,New Jersey,USA
B000828,Virginia,USA
B000829,Arizona,USA
B000830,California,USA
B000831,North Carolina,USA
B000832,Arizona,USA
B000833,Florida,USA
B000834,Washington,USA
B000835,Virginia,USA
B000836,Washington,USA
B000837,Illinois,USA
B000838,North Carolina,USA
B000839,Texas,USA
B000840,New York,USA
B000841,North Carolina,USA
B000842,Arizona,USA
B000843,Massachusetts,USA
B000844,Florida,USA
B000845,Florida,USA
B000846,Washington,USA
B000847,Virginia,USA
B000848,Virginia,USA
B000849,Georgia,USA
B000850,Washington,USA
B000851,Texas,USA
B000852,Virginia,USA
B000853,Ohio,USA
B000854,Florida,USA
B000855,North Carolina,USA
B000856,New York,USA
B000857,New York,USA
B000858,North Carolina,USA
B000859,Massachusetts,USA
B000860,Massachusetts,USA
B000861,Illinois,USA
B000862,Texas,USA
B000863,North Carolina,USA
B000864,Michigan,USA
B000865,Washington,USA
B000866,Arizona,USA
B000867,California,USA
B000868,Florida,USA
B000869,Florida,USA
B000870,Michigan,USA
B000871,North Carolina,USA
B000872,Georgia,USA
B000873,Tennessee,USA
B000874,Georgia,USA
B000875,Georgia,USA
B000876,Georgia,USA
B000877,New York,USA
B000878,California,USA
B000879,Michigan,USA
B000880,New York,USA
B000881,Arizona,USA
B000882,Washington,USA
B000883,Virginia,USA
B000884,Tennessee,USA
B000885,Massachusetts,USA
B000886,Arizona,USA
B000887,New Jersey,USA
B000888,Washington,USA
B000889,Texas,USA
B000890,Texas,USA
B000891,Georgia,USA
B000892,Florida,USA
B000893,Michigan,USA
B000894,Tennessee,USA
B000895,Florida,USA
B000896,New Jersey,USA
B000897,Tennessee,USA
B000898,Texas,USA
B000899,Ohio,USA
B000900,Florida,USA
B000901,North Carolina,USA
B000902,Tennessee,USA
B000903,Arizona,USA
B000904,Virginia,USA
B000905,Illinois,USA
B000906,Texas,USA
B000907,Florida,USA
B000908,Tennessee,USA
B000909,Virginia,USA
B000910,Virginia,USA
B000911,Florida,USA
B000912,Georgia,USA
B000913,New Jersey,USA
B000914,New York,USA
B000915,Washington,USA
B000916,Tennessee,USA
B000917,Texas,USA
B000918,Georgia,USA
B000919,Texas,USA
B000920,New Jersey,USA
B000921,Washington,USA
B000922,Virginia,USA
B000923,Florida,USA
B000924,Washington,USA
B000925,Massachusetts,USA
B000926,Georgia,USA
B000927,Georgia,USA
B000928,Tennessee,USA
B000929,Tennessee,USA
B000930,Michigan,USA
B000931,Tennessee,USA
B000932,New Jersey,USA
B000933,Texas,USA
B000934,New York,USA
B000935,Tennessee,USA
B000936,Washington,USA
B000937,Washington,USA
B000938,New Jersey,USA
B000939,New Jersey,USA
B000940,California,USA
B000941,New York,USA
B000942,California,USA
B000943,Florida,USA
B000944,New Jersey,USA
B000945,Michigan,USA
B000946,Ohio,USA
B000947,Ohio,USA
B000948,Illinois,USA
B000949,North Carolina,USA
B000950,Ohio,USA
B000951,Illinois,USA
B000952,Georgia,USA
B000953,Washington,USA
B000954,New Jersey,USA
B000955,Illinois,USA
B000956,North Carolina,USA
B000957,Washington,USA
B000958,Arizona,USA
B000959,California,USA
B000960,Florida,USA
B000961,Michigan,USA
B000962,Washington,USA
B000963,Massachusetts,USA
B000964,North Carolina,USA
B000965,Arizona,USA
B000966,Washington,USA
B000967,Ohio,USA
B000968,Massachusetts,USA
B000969,New Jersey,USA
B000970,Washington,USA
B000971,Massachusetts,USA
B000972,Arizona,USA
B000973,Arizona,USA
B000974,Massachusetts,USA
B000975,New York,USA
B000976,Illinois,USA
B000977,Tennessee,USA
B000978,Arizona,USA
B000979,Illinois,USA
B000980,New York,USA
B000981,Florida,USA
B000982,New Jersey,USA
B000983,California,USA
B000984,California,USA
B000985,Massachusetts,USA
B000986,Washington,USA
B000987,Texas,USA
B000988,Virginia,USA
B000989,Massachusetts,USA
B000990,Tennessee,USA
B000991,Texas,USA
B000992,New Jersey,USA
B000993,Virginia,USA
B000994,Florida,USA
B000995,Florida,USA
B000996,Michigan,USA
B000997,New Jersey,USA
B000998,Texas,USA
B000999,Virginia,USA
B001000,Virginia,USA
B001001,Arizona,USA
B001002,New Jersey,USA
B001003,Arizona,USA
B001004,California,USA
B001005,Ohio,USA
B001006,Massachusetts,USA
B001007,Ohio,USA
B001008,New York,USA
B001009,Illinois,USA
B001010,California,USA
B001011,New York,USA
B001012,New York,USA
B001013,Florida,USA
B001014,Washington,USA
B001015,California,USA
B001016,Texas,USA
B001017,Texas,USA
B001018,Virginia,USA
B001019,New Jersey,USA
B001020,Michigan,USA
B001021,Illinois,USA
B001022,Illinois,USA
B001023,Illinois,USA
B001024,Michigan,USA
B001025,Illinois,USA
B001026,Washington,USA
B001027,Florida,USA
B001028,New York,USA
B001029,Florida,USA
B001030,Massachusetts,USA
B001031,North Carolina,USA
B001032,Virginia,USA
B001033,Illinois,USA
B001034,California,USA
B001035,Massachusetts,USA
B001036,New Jersey,USA
B001037,New Jersey,USA
B001038,California,USA
B001039,Texas,USA
B001040,California,USA
B001041,Texas,USA
B001042,Virginia,USA
B001043,New York,USA
B001044,Washington,USA
B001045,Illinois,USA
B001046,New York,USA
B001047,Virginia,USA
B001048,Virginia,USA
B001049,Texas,USA
B001050,Virginia,USA
B001051,Washington,USA
B001052,North Carolina,USA
B001053,California,USA
B001054,Michigan,USA
B001055,Virginia,USA
B001056,Massachusetts,USA
B001057,California,USA
B001058,Washington,USA
B001059,New York,USA
B001060,Texas,USA
B001061,California,USA
B001062,Florida,USA
B001063,New Jersey,USA
B001064,California,USA
B001065,New York,USA
B001066,New York,USA
B001067,New Jersey,USA
B001068,Arizona,USA
B001069,New Jersey,USA
B001070,New York,USA
B001071,Ohio,USA
B001072,Arizona,USA
B001073,Texas,USA
B001074,Washington,USA
B001075,Virginia,USA
B001076,California,USA
B001077,Ohio,USA
B001078,New Jersey,USA
B001079,Arizona,USA
B001080,Virginia,USA
B001081,Tennessee,USA
B001082,Ohio,USA
B001083,California,USA
B001084,Texas,USA
B001085,Georgia,USA
B001086,Florida,USA
B001087,Texas,USA
B001088,North Carolina,USA
B001089,Illinois,USA
B001090,New York,USA
B001091,Tennessee,USA
B001092,Michigan,USA
B001093,New Jersey,USA
B001094,Florida,USA
B001095,Georgia,USA
B001096,Michigan,USA
B001097,Florida,USA
B001098,Ohio,USA
B001099,Illinois,USA
B001100,North Carolina,USA
B001101,North Carolina,USA
B001102,Ohio,USA
B001103,Michigan,USA
B001104,Washington,USA
B001105,Georgia,USA
B001106,Michigan,USA
B001107,Florida,USA
B001108,Arizona,USA
B001109,Georgia,USA
B001110,Michigan,USA
B001111,New Jersey,USA
B001112,Texas,USA
B001113,Illinois,USA
B001114,California,USA
B001115,Georgia,USA
B001116,Massachusetts,USA
B001117,Ohio,USA
B001118,Michigan,USA
B001119,New York,USA
B001120,Ohio,USA
B001121,Illinois,USA
B001122,Texas,USA
B001123,New York,USA
B001124,Ohio,USA
B001125,Georgia,USA
B001126,Washington,USA
B001127,Arizona,USA
B001128,Ohio,USA
B001129,Texas,USA
B001130,Texas,USA
B001131,Arizona,USA
B001132,Virginia,USA
B001133,Ohio,USA
B001134,Washington,USA
B001135,Ohio,USA
B001136,Tennessee,USA
B001137,Arizona,USA
B001138,New Jersey,USA
B001139,Tennessee,USA
B001140,Tennessee,USA
B001141,New York,USA
B001142,Illinois,USA
B001143,Illinois,USA
B001144,Virginia,USA
B001145,Arizona,USA
B001146,New Jersey,USA
B001147,Ohio,USA
B001148,California,USA
B001149,California,USA
B001150,Michigan,USA
B001151,Arizona,USA
B001152,Washington,USA
B001153,New York,USA
B001154,Texas,USA
B001155,Washington,USA
B001156,Georgia,USA
B001157,Ohio,USA
B001158,Arizona,USA
B001159,Florida,USA
B001160,Florida,USA
B001161,Arizona,USA
B001162,Michigan,USA
B001163,Virginia,USA
B001164,Tennessee,USA
B001165,Illinois,USA
B001166,Florida,USA
B001167,Florida,USA
B001168,Texas,USA
B001169,New Jersey,USA
B001170,Georgia,USA
B001171,Texas,USA
B001172,California,USA
B001173,Washington,USA
B001174,Illinois,USA
B001175,Ohio,USA
B001176,Michigan,USA
B001177,New Jersey,USA
B001178,Ohio,USA
B001179,Washington,USA
B001180,Arizona,USA
B001181,New Jersey,USA
B001182,Texas,USA
B001183,Washington,USA
B001184,New Jersey,USA
B001185,Virginia,USA
B001186,Virginia,USA
B001187,California,USA
B001188,Ohio,USA
B001189,Virginia,USA
B001190,New York,USA
